ID,Nombre,Latitude,Longitude,Municipio,Provincia,Año_Contrucción,Siglo,Estado,Condición,Notas
1,Chiesa di San Pietro di Sorres,40.520289,8.748706,Borutta,Sassari,,XII,,,
2,Chiesa di San Pietro (Bosa),40.289210,8.519767,Bosa,Oristano,1073,XI,,,
